"journal-article-10.2307_24047093-ngram1.txt","The pragmatic nature of the so-called subject marker ga in Japanese: evidence from conversation"
"journal-article-10.2307_43496331-ngram1.txt","Troubles with assessments in gifting occasions"
"journal-article-10.2307_24047509-ngram1.txt","veke'ilu haragláyim sh'xa nitka'ot bifním kaze ('and like your feet get stuck inside like'): Hebrew kaze ('like'), ke'ilu ('like'), and the decline of Israeli dugri ('direct') speech"
"journal-article-10.2307_24045907-ngram1.txt","Analysing self-constituting discourses"
"journal-article-10.2307_24048870-ngram1.txt","The concept of 'dialogue' in cross-linguistic and cross-cultural perspective"
"journal-article-10.2307_24049784-ngram1.txt","Metaphors of cancer in scientific popularization articles in the British press"
"journal-article-10.2307_24049394-ngram1.txt","The development of early sociodramatic play"
"journal-article-10.2307_24049745-ngram1.txt","Discourse, grammar, discourse"
"journal-article-10.2307_24049945-ngram1.txt","Re-constructing Babel: Discourse analysis, hermeneutics and the Interpretive Arc"
"journal-article-10.2307_24049328-ngram1.txt","Rhetorical Structure Theory: looking back and moving ahead"
"journal-article-10.2307_24047526-ngram1.txt","Stylization, authenticity and TV news review"
"journal-article-10.2307_24048406-ngram1.txt","Pragmatic markers and discourse coherence relations in English and Catalan oral narrative"
"journal-article-10.2307_24049480-ngram1.txt","Some uses of third-person reference forms in speaker self-reference"
"journal-article-10.2307_24047112-ngram1.txt","Politeness, power and provocation: how humour functions in the workplace"
"journal-article-10.2307_24049532-ngram1.txt","Stance-taking in Hebrew casual conversation via be'emet ('really, actually, indeed', lit. 'in truth')"
"journal-article-10.2307_24045861-ngram1.txt","Grace: the logogenesis of freedom"
"journal-article-10.2307_24049795-ngram1.txt","An approach to corpus-based discourse analysis: The move analysis as example"
"journal-article-10.2307_24047943-ngram1.txt","Pupils' gossip as remedial action"
"journal-article-10.2307_24048480-ngram1.txt","'When your powers combine, I am Captain Planet': the developmental significance of individual- and group-authored stories by preschoolers"
"journal-article-10.2307_43496297-ngram1.txt","From sequential to affective discourse marker: Hebrew nu on Israeli political phone-in radio programs"
